DATA,CODCLI,CODATV1,ESTENT,CODPROD,CODEPTO,CODSEC,CODMARCA,CODUSUR,QT,PVENDA,VLCUSTOFIN
2/01/2017,37011,131,PE,7730,1,10040,2,131,2,300,231.13
2/01/2017,37011,131,PE,7730,1,10040,2,131,2,300,231.13
2/01/2017,7782,203,PE,7708,1,10040,2,4,20,300,213.751759
3/01/2017,37088,131,PI,13637,10002,10031,39,133,2,300,210.01
5/01/2017,8739,131,RN,912460,1,10042,1,59,1,300,221.321206
5/01/2017,29470,201,CE,912835,1,10040,1,80,2,300,213.787781
5/01/2017,20682,101,PE,912835,1,10040,1,131,2,300,211.65
5/01/2017,11199,101,CE,97781,1,10042,3,262,4,300,225.729321
5/01/2017,34910,101,CE,912811,1,10040,1,30,4,300,227.824941
5/01/2017,37196,131,AL,912811,1,10040,1,31,2,300,227.348147
6/01/2017,10277,101,PE,97781,1,10042,3,7,2,300,225.73
6/01/2017,37291,131,PE,912835,1,10040,1,9,2,300,213.789998
6/01/2017,4243,202,CE,913619,1,10040,3,17,4,300,226.618499
6/01/2017,29470,201,CE,912835,1,10040,1,80,2,300,213.787781
9/01/2017,7689,201,AL,913619,1,10040,3,91,4,300,226.629
9/01/2017,37340,131,PE,912818,1,10040,1,9,2,300,209.13
9/01/2017,37371,131,AL,912818,1,10040,1,31,2,300,206.85
9/01/2017,37291,131,PE,912835,1,10040,1,9,2,300,213.789998
11/01/2017,22615,131,PI,912816,1,10040,1,133,1,300,207.98
12/01/2017,33067,131,MA,912849,1,10040,1,95,2,300,234.578586
12/01/2017,22172,101,PE,97781,1,10042,3,131,2,300,224.694375
13/01/2017,2035,203,PE,913619,1,10040,3,7,2,300,226.626703
13/01/2017,8049,102,CE,97781,1,10042,3,263,2,300,225.729321
13/01/2017,10281,131,RN,7586,1,10040,2,59,4,300,240.84
13/01/2017,37588,131,SE,912822,1,10040,1,158,1,300,209.44
17/01/2017,37747,101,CE,912811,1,10040,1,262,2,300,227.824941
17/01/2017,9346,101,PE,913770,1,10040,1,6,2,300,219.64
17/01/2017,37747,101,CE,912811,1,10040,1,262,2,300,227.824941
19/01/2017,24095,101,PI,97781,1,10042,3,133,2,300,234.291667
20/01/2017,29795,101,PB,13001,10002,10031,39,148,1,300,162.9
23/01/2017,2474,203,AL,913619,1,10040,3,91,4,300,226.629
23/01/2017,38035,131,PE,912816,1,10040,1,131,4,300,205.617694
23/01/2017,38035,131,PE,912816,1,10040,1,131,4,300,205.617694
25/01/2017,38128,101,PE,912816,1,10040,1,126,4,300,206.393077
25/01/2017,38128,101,PE,912816,1,10040,1,126,4,300,206.393077
25/01/2017,5457,201,CE,97781,1,10042,3,262,2,300,225.578296
26/01/2017,37947,101,PE,97781,1,10042,3,9,2,300,225.73
26/01/2017,9918,202,RN,913619,1,10040,3,59,2,300,226.63
26/01/2017,4880,201,AL,913619,1,10040,3,91,2,300,226.629
27/01/2017,38226,131,RN,912816,1,10040,1,127,2,300,201.918942
27/01/2017,38227,131,PE,912822,1,10040,1,9,2,300,209.966308
28/01/2017,16554,131,RN,912835,1,10040,1,127,2,300,211.240344
28/01/2017,38247,131,PE,13850,1,10042,59,36,2,300,198.369444
30/01/2017,38326,131,RN,912811,1,10040,1,127,4,300,224.126296
31/01/2017,16319,101,PI,912849,1,10040,1,28,4,300,234.579698
31/01/2017,38412,131,MA,912835,1,10040,1,170,4,300,211.2275
2/02/2017,33916,131,RN,912816,1,10040,1,164,2,300,201.92
3/02/2017,38534,131,PI,912816,1,10040,1,145,4,300,208.509613
3/02/2017,38520,131,AL,97801,1,10040,1,31,4,300,164.95625
3/02/2017,12293,101,PB,913088,1,10040,1,87,2,300,215.97689
4/02/2017,11655,101,MA,912835,1,10040,1,95,4,300,214.909496
4/02/2017,28983,131,CE,912835,1,10040,1,132,4,300,213.35
6/02/2017,20155,101,PI,912835,1,10040,1,133,2,300,220.06
6/02/2017,38609,131,PE,912818,1,10040,1,131,2,300,213.73
6/02/2017,38626,131,RN,912835,1,10040,1,164,2,300,211.24
6/02/2017,29982,211,CE,913619,1,10040,3,13,2,300,226.618499
6/02/2017,38609,131,PE,912818,1,10040,1,131,2,300,213.73
7/02/2017,34910,101,CE,913728,1,10040,3,176,2,300,218.444801
8/02/2017,38719,131,PE,912822,1,10040,1,9,4,300,209.966308
8/02/2017,131,101,PE,912811,1,10040,1,9,4,300,227.9
9/02/2017,38755,131,PE,912835,1,10040,1,131,4,300,214.622808
9/02/2017,16676,131,MA,912818,1,10040,1,84,2,300,210.189436
9/02/2017,16159,131,PB,912818,1,10040,1,83,3,300,209.452727
9/02/2017,38774,131,PI,912835,1,10040,1,145,4,300,217.673096
9/02/2017,38784,131,RN,912835,1,10040,1,164,4,300,214.94125
9/02/2017,38755,131,PE,912835,1,10040,1,131,4,300,214.622808
9/02/2017,13834,201,PE,13017,1,10040,44,7,4,300,199.55
10/02/2017,20155,101,PI,912822,1,10040,1,133,2,300,213.25
11/02/2017,32989,211,CE,913619,1,10040,3,13,4,300,226.618499
13/02/2017,34372,131,PI,912811,1,10040,1,75,2,300,218.208376
13/02/2017,21615,131,CE,97781,1,10042,3,80,1,300,226.368111
13/02/2017,29665,201,PE,912849,1,10040,1,123,2,300,239.219378
14/02/2017,20291,210,PI,912811,1,10040,1,133,4,300,222.828855
14/02/2017,38970,131,PE,97781,1,10042,3,7,2,300,227.183333
14/02/2017,765,211,PE,13862,1,10041,59,4,12,300,223.68098
14/02/2017,38988,131,RN,912835,1,10040,1,164,2,300,215.29375
14/02/2017,38979,131,PE,912840,1,10040,1,131,2,300,181.46
15/02/2017,38744,101,PE,97782,1,10042,3,9,2,300,241.58
15/02/2017,4979,101,AL,912822,1,10040,1,31,1,300,210.04
15/02/2017,38744,101,PE,97782,1,10042,3,9,2,300,241.58
16/02/2017,41025,131,PE,912835,1,10040,1,178,4,300,213.731872
16/02/2017,41025,131,PE,912835,1,10040,1,178,4,300,213.731872
18/02/2017,23758,131,RN,912822,1,10040,1,127,2,300,207.574154
18/02/2017,41144,131,RN,912835,1,10040,1,164,2,300,215.29375
18/02/2017,41121,131,CE,912822,1,10040,1,176,2,300,209.599307
20/02/2017,41164,131,SE,12057,1,10040,3,158,2,300,109.5
20/02/2017,32989,211,CE,913619,1,10040,3,13,2,300,226.618499
20/02/2017,32989,211,CE,913619,1,10040,3,13,2,300,226.618499
21/02/2017,36302,131,CE,912835,1,10040,1,146,4,300,213.35
21/02/2017,41210,131,MA,912816,1,10040,1,179,4,300,205.53
21/02/2017,12817,202,RN,913963,1,10040,1,59,2,300,241.34993
21/02/2017,33205,103,RN,13688,10006,10011,8,127,1,300,203.056989
22/02/2017,27115,131,RN,912835,1,10040,1,164,2,300,215.29375
22/02/2017,6611,131,PE,912822,1,10040,1,9,4,300,210.006028
23/02/2017,28274,302,AL,913619,1,10040,3,91,2,300,228.762786
23/02/2017,32393,211,CE,913619,1,10040,3,13,2,300,226.618499
23/02/2017,41387,131,PE,912816,1,10040,1,9,2,300,207.836667
23/02/2017,12487,201,CE,912811,1,10040,1,263,4,300,222.893252
23/02/2017,41404,131,PE,13846,1,10040,59,9,1,300,168.909276
23/02/2017,7062,203,PE,13849,1,10040,59,4,4,300,203.670534
24/02/2017,2694,101,PE,912816,1,10040,1,7,4,300,207.836667
24/02/2017,41469,131,PE,912818,1,10040,1,9,2,300,212.900909
24/02/2017,26260,131,PE,912835,1,10040,1,178,2,300,210.290936
24/02/2017,16502,131,PE,912822,1,10040,1,131,4,300,208.23
24/02/2017,29364,131,PI,912835,1,10040,1,145,4,300,217.673096
24/02/2017,26260,131,PE,912835,1,10040,1,178,2,300,210.290936
24/02/2017,16502,131,PE,912822,1,10040,1,131,4,300,208.23
24/02/2017,20172,201,PI,913090,1,10040,1,133,2,300,216.66
24/02/2017,16884,131,PE,912822,1,10040,1,9,1,300,210.007683
24/02/2017,2694,101,PE,912816,1,10040,1,7,4,300,207.836667
24/02/2017,20717,101,PE,97781,1,10042,3,131,4,300,225.72601
24/02/2017,41344,131,RN,913089,1,10040,1,127,4,300,206.717149
1/03/2017,10536,131,PE,13016,1,10040,44,9,2,300,182.083333
1/03/2017,41560,131,PI,912693,1,10040,1,133,2,300,181.280249
2/03/2017,14111,101,RN,97781,1,10042,3,59,2,300,227.124616
2/03/2017,41597,131,PI,912693,1,10040,1,133,4,300,181.280249
2/03/2017,27453,131,RN,912816,1,10040,1,164,2,300,205.882847
2/03/2017,24142,101,RN,912835,1,10040,1,59,4,300,218.015059
2/03/2017,41619,131,PE,912835,1,10040,1,9,1,300,213.79
3/03/2017,20273,201,PI,912822,1,10040,1,133,4,300,210.7
3/03/2017,24922,131,RN,912835,1,10040,1,164,4,300,215.47
3/03/2017,6971,201,CE,913619,1,10040,3,172,4,300,226.241759
3/03/2017,23259,201,CE,912849,1,10040,1,17,4,300,238.35215
4/03/2017,38079,202,CE,912849,1,10040,1,34,4,300,238.35215
4/03/2017,38079,202,CE,912827,1,10040,1,34,4,300,259.294011
4/03/2017,7965,201,CE,912811,1,10040,1,183,2,300,222.893252
6/03/2017,30161,303,CE,912835,1,10040,1,146,2,300,213.35
6/03/2017,41748,101,CE,912835,1,10040,1,146,4,300,213.35
6/03/2017,41773,131,RN,913089,1,10040,1,127,4,300,206.717149
7/03/2017,25778,131,PE,13604,10002,10034,39,178,1,300,161.5
7/03/2017,41805,131,PE,912835,1,10040,1,6,2,300,216.653636
8/03/2017,41850,131,PE,912816,1,10040,1,9,2,300,208.354615
9/03/2017,41928,131,PB,912822,1,10040,1,177,2,300,214.193643
9/03/2017,41893,131,PI,912816,1,10040,1,145,2,300,208.509613
10/03/2017,36623,131,MA,912822,1,10040,1,179,4,300,211.64
10/03/2017,35516,131,PE,12687,1,10040,1,36,2,300,168.184615
10/03/2017,41949,131,PI,912693,1,10040,1,133,4,300,184.090817
10/03/2017,22024,102,PE,912818,1,10040,1,6,4,300,211.837969
10/03/2017,5807,203,AL,912849,1,10040,1,91,2,300,239.12
13/03/2017,37987,201,PE,7708,1,10040,2,36,2,300,213.751759
13/03/2017,22024,102,PE,912818,1,10040,1,6,4,300,211.837969
15/03/2017,26928,101,PI,912811,1,10040,1,143,4,300,218.208376
15/03/2017,35094,131,PI,13535,10002,10034,51,133,1,300,302.260994
16/03/2017,28413,131,PE,912810,1,10040,1,178,2,300,183.16
16/03/2017,28413,131,PE,912810,1,10040,1,178,2,300,183.16
16/03/2017,7965,201,CE,913658,1,10040,3,183,2,300,207.581482
17/03/2017,42261,131,RN,912631,1,10040,1,127,2,300,172.794612
18/03/2017,42350,131,RN,912827,1,10040,1,127,2,300,256.974244
18/03/2017,42352,131,PE,912822,1,10040,1,178,4,300,209.5
18/03/2017,17108,131,MA,7643,1,10040,3,179,3,300,180.03
18/03/2017,42352,131,PE,912822,1,10040,1,178,4,300,209.5
18/03/2017,42344,131,PE,912822,1,10040,1,178,4,300,212.05
18/03/2017,42344,131,PE,912822,1,10040,1,178,4,300,212.05
18/03/2017,42347,131,PE,912631,1,10040,1,178,4,300,177.28
18/03/2017,20172,201,PI,912811,1,10040,1,133,1,300,224.912952
18/03/2017,20273,201,PI,912818,1,10040,1,133,4,300,217.19
20/03/2017,12101,210,PE,7761,1,10040,1,166,4,300,184.572213
20/03/2017,42385,131,SE,913089,1,10040,1,158,2,300,209.27
20/03/2017,15047,202,PE,13858,1,10040,59,36,4,300,218.560759
20/03/2017,33433,131,MA,7710,1,10040,2,179,1,300,206.164287
21/03/2017,7817,202,CE,912849,1,10040,1,34,4,300,238.35215
22/03/2017,11455,103,RN,913619,1,10040,3,59,4,300,226.628442
22/03/2017,25251,210,RN,913770,1,10040,1,164,2,300,221.43
23/03/2017,42347,131,PE,912631,1,10040,1,178,4,300,177.28
23/03/2017,42594,131,PB,913728,1,10040,3,177,1,300,201.689038
23/03/2017,42575,131,MA,912816,1,10040,1,179,2,300,205.734
23/03/2017,42551,131,PB,912818,1,10040,1,169,4,300,208.39
24/03/2017,32989,211,CE,913619,1,10040,3,13,4,300,228.86
24/03/2017,11455,103,RN,913619,1,10040,3,59,2,300,226.63
25/03/2017,11850,101,RN,912811,1,10040,1,59,2,300,226.676296
25/03/2017,42671,202,PE,13849,1,10040,59,4,2,300,203.670534
25/03/2017,42671,202,PE,13852,1,10041,59,4,2,300,246.879461
27/03/2017,42746,131,PE,912818,1,10040,1,178,2,300,213.93
27/03/2017,42746,131,PE,912818,1,10040,1,178,2,300,213.93
28/03/2017,22858,203,SE,97781,1,10042,3,108,4,300,225.728512
28/03/2017,7062,203,PE,13852,1,10041,59,4,6,300,246.879461
28/03/2017,2546,201,PE,13017,1,10040,44,36,3,300,216.241629
29/03/2017,42843,131,PI,912818,1,10040,1,145,2,300,210.94226
31/03/2017,42973,131,PE,912818,1,10040,1,178,4,300,211.38
31/03/2017,43011,131,CE,12216,1,10040,1,176,1,300,215.411567
31/03/2017,42973,131,PE,912818,1,10040,1,178,4,300,211.38
31/03/2017,12619,101,RN,97781,1,10042,3,59,2,300,225.014167
31/03/2017,8291,211,CE,912827,1,10040,1,13,4,300,259.458475
31/03/2017,8289,211,CE,912827,1,10040,1,13,2,300,259.458475
1/04/2017,43031,131,PE,912822,1,10040,1,178,2,300,212.26
1/04/2017,6748,202,PE,13852,1,10041,59,43,6,300,246.877862
1/04/2017,43015,131,PE,912811,1,10040,1,178,2,300,234.617726
1/04/2017,43017,131,RN,912811,1,10040,1,59,2,300,226.676296
1/04/2017,33421,131,AL,912811,1,10040,1,31,4,300,222.03602
1/04/2017,43015,131,PE,912811,1,10040,1,178,2,300,234.617726
1/04/2017,43031,131,PE,912822,1,10040,1,178,2,300,212.26
3/04/2017,43076,131,MA,913658,1,10040,3,179,2,300,205.03
3/04/2017,26013,131,PE,912835,1,10040,1,178,2,300,216.766912
3/04/2017,43065,131,RN,12691,1,10040,3,127,4,300,252.911426
3/04/2017,43103,131,PB,912816,1,10040,1,169,4,300,205.96
3/04/2017,26013,131,PE,912835,1,10040,1,178,2,300,216.766912
4/04/2017,6549,103,CE,912849,1,10040,1,17,2,300,238.35215
4/04/2017,29982,211,CE,913619,1,10040,3,13,2,300,230.225663
4/04/2017,33601,211,CE,913619,1,10040,3,13,2,300,230.225663
5/04/2017,43189,131,RN,912822,1,10040,1,127,3,300,205.024154
6/04/2017,43262,131,PE,13006,1,10040,2,178,4,300,224.75
6/04/2017,10952,101,AL,13636,10002,10031,39,140,2,300,208.734
6/04/2017,43262,131,PE,13006,1,10040,2,178,4,300,224.75
7/04/2017,15944,101,AL,912818,1,10040,1,141,4,300,210.94226
7/04/2017,27978,101,PE,912215,1,10040,1,131,4,300,228.35
7/04/2017,43358,131,PI,13535,10002,10034,51,175,1,300,300.776832
7/04/2017,43350,131,RN,912822,1,10040,1,164,2,300,205.02
7/04/2017,27978,101,PE,912215,1,10040,1,131,4,300,228.35
8/04/2017,20219,101,PI,912811,1,10040,1,175,2,300,224.803328
10/04/2017,42385,131,SE,913770,1,10040,1,158,4,300,223.98
10/04/2017,12666,202,PE,13017,1,10040,44,36,4,300,216.241629
10/04/2017,29982,211,CE,913619,1,10040,3,13,2,300,228.86
10/04/2017,43468,131,MA,912835,1,10040,1,179,2,300,215.34
11/04/2017,43488,131,RN,913658,1,10040,3,164,4,300,204.806667
11/04/2017,30775,101,RN,912811,1,10040,1,164,4,300,224.13
12/04/2017,29982,211,CE,913619,1,10040,3,13,2,300,232.5
12/04/2017,11058,131,PE,912811,1,10040,1,131,2,300,222.56
12/04/2017,43590,131,CE,912811,1,10040,1,176,2,300,223.436089
12/04/2017,43570,131,PB,912816,1,10040,1,169,2,300,205.96
13/04/2017,12781,131,CE,912818,1,10040,1,176,4,300,210.8035
13/04/2017,15736,201,AL,912816,1,10040,1,140,4,300,208.51
13/04/2017,43661,131,PE,912818,1,10040,1,131,2,300,211.84
13/04/2017,43635,131,PI,912693,1,10040,1,193,2,300,184.826844
13/04/2017,43658,131,PI,912818,1,10040,1,75,2,300,210.94226
13/04/2017,27592,131,SE,912835,1,10040,1,158,4,300,218.02
17/04/2017,25533,131,CE,912693,1,10040,1,80,4,300,182.069926
17/04/2017,25533,131,CE,912693,1,10040,1,80,4,300,182.069926
17/04/2017,43743,131,SE,912822,1,10040,1,158,4,300,213.0025
18/04/2017,10063,202,CE,913090,1,10040,1,183,1,300,231.695574
18/04/2017,43804,131,PE,912822,1,10040,1,178,4,300,215.634615
18/04/2017,43804,131,PE,912822,1,10040,1,178,4,300,215.634615
19/04/2017,6936,202,CE,913619,1,10040,3,13,3,300,230.225663
19/04/2017,43231,131,MA,914092,1,10040,3,179,1,300,189.15
19/04/2017,20845,131,PE,912835,1,10040,1,178,1,300,217.355637
19/04/2017,20845,131,PE,912835,1,10040,1,178,1,300,217.355637
20/04/2017,37591,131,PE,913963,1,10040,1,178,2,300,174.13
20/04/2017,37591,131,PE,913963,1,10040,1,178,2,300,174.13
20/04/2017,41619,131,PE,912835,1,10040,1,178,2,300,217.355637
20/04/2017,9224,131,PI,912818,1,10040,1,75,2,300,210.94226
20/04/2017,14371,202,PE,13862,1,10041,59,36,4,300,223.701405
20/04/2017,41619,131,PE,912835,1,10040,1,178,2,300,217.355637
22/04/2017,44010,131,MA,912816,1,10040,1,179,4,300,205.96
22/04/2017,28182,131,PE,912816,1,10040,1,178,1,300,208.0276
22/04/2017,43987,131,CE,912811,1,10040,1,176,4,300,223.436089
22/04/2017,28182,131,PE,912816,1,10040,1,178,1,300,208.0276
22/04/2017,23745,131,PE,912816,1,10040,1,178,4,300,208.0276
22/04/2017,32989,211,CE,913619,1,10040,3,13,4,300,232.5
24/04/2017,20219,101,PI,912811,1,10040,1,193,4,300,222.253328
24/04/2017,34589,131,AL,97782,1,10042,3,141,2,300,241.58
24/04/2017,13914,101,PI,912822,1,10040,1,75,2,300,214.044883
24/04/2017,32989,211,CE,913619,1,10040,3,13,2,300,232.5
24/04/2017,2694,101,PE,912816,1,10040,1,7,2,300,208.495874
25/04/2017,44127,131,PE,912840,1,10040,1,197,2,300,183.24
25/04/2017,44127,131,PE,912840,1,10040,1,197,2,300,183.24
25/04/2017,2035,203,PE,912827,1,10040,1,7,2,300,257.901406
25/04/2017,33454,131,SE,913090,1,10040,1,158,4,300,234.58
26/04/2017,14441,131,CE,913658,1,10040,3,176,4,300,197.521563
27/04/2017,20719,101,PE,912816,1,10040,1,131,4,300,208.51
27/04/2017,44237,131,MA,912811,1,10040,1,179,1,300,217.174704
28/04/2017,44287,131,PE,912693,1,10040,1,178,4,300,181.223635
28/04/2017,5069,101,PE,912811,1,10040,1,6,2,300,217.408899
28/04/2017,44287,131,PE,912693,1,10040,1,178,4,300,181.223635
29/04/2017,31010,131,RN,913658,1,10040,3,164,2,300,192.565
29/04/2017,44316,131,PE,912811,1,10040,1,178,2,300,232.2
29/04/2017,21541,131,PE,912811,1,10040,1,178,4,300,232.2
29/04/2017,21151,101,PE,912835,1,10040,1,178,2,300,217.466023
29/04/2017,44329,131,PE,912835,1,10040,1,178,2,300,217.466023
29/04/2017,28015,203,CE,912849,1,10040,1,34,2,300,218.822933
29/04/2017,6043,211,CE,912827,1,10040,1,13,4,300,259.50908
29/04/2017,23402,131,PE,912835,1,10040,1,131,4,300,216.1525
29/04/2017,29982,211,CE,913619,1,10040,3,13,7,300,230.225663
29/04/2017,44316,131,PE,912811,1,10040,1,178,2,300,232.2
29/04/2017,21541,131,PE,912811,1,10040,1,178,4,300,232.2
2/05/2017,20771,131,PE,912822,1,10040,1,178,2,300,213.419808
2/05/2017,43015,131,PE,912811,1,10040,1,178,2,300,234.75
2/05/2017,26666,131,PE,912816,1,10040,1,9,4,300,208.507646
2/05/2017,20771,131,PE,912822,1,10040,1,178,2,300,213.419808
2/05/2017,43015,131,PE,912811,1,10040,1,178,2,300,234.75
2/05/2017,44349,131,RN,913770,1,10040,1,164,2,300,221.43
3/05/2017,32159,201,RN,912811,1,10040,1,127,2,300,226.68
3/05/2017,41495,101,AL,912816,1,10040,1,140,5,300,198.16
4/05/2017,5429,101,PB,912462,1,10040,1,25,300,130.11,130.11
4/05/2017,300,101,PE,12095,2,10043,1,7,2,1350,1013.115
4/05/2017,20291,210,PI,912811,1,10040,1,175,1,300,224.692982
4/05/2017,44504,131,AL,912816,1,10040,1,268,1,300,198.16
4/05/2017,8690,201,PI,912811,1,10040,1,75,4,300,218.9
5/05/2017,44545,131,MA,912822,1,10040,1,179,1,300,211.64
8/05/2017,44633,131,RN,912835,1,10040,1,164,2,300,215.47
8/05/2017,32621,131,RN,912816,1,10040,1,127,4,300,214.2
10/05/2017,32967,131,PE,912835,1,10040,1,178,2,300,217.6
10/05/2017,44748,131,PE,912816,1,10040,1,178,4,300,216.805
10/05/2017,32967,131,PE,912835,1,10040,1,178,2,300,217.6
10/05/2017,25990,131,PE,912631,1,10040,1,178,1,300,155.5
10/05/2017,44748,131,PE,912816,1,10040,1,178,4,300,216.805
10/05/2017,25990,131,PE,912631,1,10040,1,178,1,300,155.5
12/05/2017,24296,131,PE,912822,1,10040,1,178,2,300,212.579952
12/05/2017,24296,131,PE,912822,1,10040,1,178,2,300,212.579952
13/05/2017,23696,131,MA,913728,1,10040,3,179,2,300,201.32
13/05/2017,42792,131,MA,914092,1,10040,3,179,4,300,192.174
16/05/2017,45032,131,RN,913770,1,10040,1,164,1,300,211.04375
17/05/2017,45094,131,CE,912816,1,10040,1,176,2,300,216.749319
17/05/2017,28827,101,RN,912835,1,10040,1,164,2,300,223.3625
17/05/2017,9514,101,PI,912811,1,10040,1,143,4,300,218.900009
17/05/2017,33594,101,RN,912816,1,10040,1,127,4,300,216.75
18/05/2017,20172,201,PI,912811,1,10040,1,175,2,300,225.121916
18/05/2017,44245,131,PI,13864,1,10040,59,193,2,300,185.630414
19/05/2017,45196,131,PE,13862,1,10041,59,189,1,300,221.18
